
CENTRO DE CIÊNCIAS DA SAÚDE DE VITÓRIA;;emescam@emescam.br;;(027) 227 3033;;AV NOSSA SENHORA DA PENHA;;;;;VITORIA;;;;;;;Entidades;Entidades
CENTRO DE COMUNICAÇÃO E ARTES - SENAC-SP;;cca@sp.senac.br;;(011) 3872 6654 / 3872 6425;;RUA SCIPIÃO;;;;;SAO PAULO;;;;;;;Entidades;Entidades
CENTRO DE EDUCAÇÃO EM MODA - SENAC/SP;;cem@sp.senac.br;;(011) 3865 4888;;RUA FAUSTOLO;;;;;SAO PAULO;;;;;;;Entidades;Entidades
CENTRO DE EDUCAÇÃO SUPERIOR - FLORIANÓPOLIS;;c6amp@udesc.br;;(048) 231 15500  E/OU 334 6437;;RUA SALVATINA FELICIANA DOS SANTOS;;;;;FLORIANOPOLIS;;;;;;;Faculdades;Escola Superior
CENTRO DE EDUCAÇÃO SUPERIOR DE BLUMENAU;;colegsos@braznet.com.br;;(047) 329 7499;;RUA CAPITÃO SANTOS;;;;;BLUMENAU;;;;;;;TIPO;TIPO
CENTRO DE EDUCAÇÃO SUPERIOR UNYAHNA - BARREIRAS;;unyahna@svn.com.br;;(077) 811 8586 R- 2017;;RUA GILENO DE SÁ OLIVEIRA;;;;;BARREIRAS;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DE ARCOVERDE;;aesa@arcoverde.rpi.br;;(081) 821 0574 R- 30;;RUA GUMERCINDO CAVALCANTI;;;;;ARCOVERDE;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DE BENTO GONÇALVES;;cenecista@zaz.com.br;;(054) 452 4422;;RUA LORENO MENEGOTTO;;;;;BENTO GONCALVES;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DE CATALÃO;;cesuc@cesuc.br;;(062) 441 4300;;AV PRESIDENTE MÉDICI;;;;;CATALAO;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DE FARROUPILHA;;CNECCESF@FR.ITALNET.COM.BR;;(054) 268 2288;;RUA 14 DE JULHO;;;;;FARROUPILHA;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DE JARAGUÁ DO SUL;;dirger@ferj.rct-sc.br;;(047) 371 0983 r-  44;;RUA DOS IMIGRANTES;;;;;JARAGUA DO SUL;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DE JATAÍ;;cesut@jatainet.com.br;;(062) 631 2466;;RUA SANTOS DUMONT;;;;;JATAI;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA;;cesjf@cesjf.br;;(032) 215 5255 R- 240;;RUA HALFELD;;;;;JUIZ DE FORA;;;;;;;TIPO;TIPO
Centro de Ensino Superior de São Carlos;;secasser@zaz.com.br;;(16) 2711255  /  2719251;;Av. José Pereira Lopes, 252 - 2 ºandar;;;;13574-380;São Carlos;SP;;;;;;Ensino Superior;Escola Superior
CENTRO DE ENSINO SUPERIOR DE VALENÇA;;faa@sidenet.com.br;;(024) 452 1888;;RUA SARGENTO VITOR HUGO;;;;;VALENCA;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DE VITÓRIA;;comsique@vix.zaz.com.br;;(027) 200 2133;;RUA BARÃO DE MONJARDIM;;;;;VITORIA;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DE VOLTA REDONDA;;foa@foa.org.br;;(024) 346 8400 R-233;;ESTRADA VOLTA REDONDA / PINHEIRAL;;;;;VOLTA REDONDA;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DO PARÁ;;cesupa@cesupa.br;;(091) 242 5808;;AV NAZARÉ;;;;;BELEM;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO;;abcesvas@netcap.com.br;;(081) 876 1248;;RUA CORONEL TRAPIA;;;;;BELEM DE SAO FRANCISCO;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR FUCAPI-CESE;;cesf@fucapi.br;;(092) 237 5858  R-2010;;AV GOVERNADOR DANILO AREOSA;;;;;MANAUS;;;;;;;TIPO;TIPO
CENTRO DE ENSINO SUPERIOR SANTA TEREZINHA;;cest@elo.com.br;;(098) 244 2900;;AV CASEMIRO JÚNIOR;;;;;SAO LUIS;;;;;;;TIPO;TIPO
CENTRO DE ENSINO UNIFICADO DE BRASÍLIA;;eqt@ceub.br;;(061) 340 1600;;EQN 707 907 CONJUNTO C;;;;;BRASILIA;;;;;;;TIPO;TIPO
CENTRO DE ESTUDOS DE ADMINIST TURISMO E HOTELARIA - SENAC/SP;;cet@sp.senac.br;;(011) 263 2511;;AV FRANCISCO MATARAZZO;;;;;SAO PAULO;;;;;;;Entidades;Entidades
CENTRO DE ESTUDOS SUPERIORES BARROS MELO;;cesban@aeso.br;;(081) 427 4203;;AV TRANSAMAZÔNICA;;;;;OLINDA;;;;;;;TIPO;TIPO
CENTRO DE ESTUDOS SUPERIORES DA AMAZÔNIA;;cesam@cesupa.br;;(091) 246 7172;;AV GOVERNADOR JOSÉ MALCHER;;;;;BELEM;;;;;;;TIPO;TIPO
CENTRO DE ESTUDOS SUPERIORES DE LONDRINA;;cesulon@filadelfia.br;;(043) 324 6112 R- 219;;AV JUSCELINO KUBITSCHEK;;;;;LONDRINA;;;;;;;TIPO;TIPO
CENTRO DE ESTUDOS SUPERIORES DE MACEIÓ;;asppe@fejal.br;;(082) 221 5007 R- 412;;RUA CONEGO MACHADO;;;;;MACEIO;;;;;;;TIPO;TIPO
Centro de Fonoaudiologia Especializada;;mariainesrehder@uol.com.br;;;;;;;;;;;;;;;;;Escola Superior
CENTRO DE TECNOLOGIA DA INDÚSTRIA QUÍMICA E TEXTIL (CETIQT);;dg@cetiqt.senai.br;;(021) 582 1014;;RUA DR MANOEL COUTRIM;;;;;RIO DE JANEIRO;;;;;;;Entidades;Entidades
CENTRO DE TECNOLOGIA E CIÊNCIA-BRASÍLIA;;armindo@objetivo.br;;(061) 345 9134;;SGA/SUL QUADRA 913;;;;;BRASILIA;;;;;;;TIPO;TIPO
CENTRO EDUCACIONAL LA SALLE DE ENSINO SUPERIOR;;lasalle@lasalle.tche.br;;(051) 476 8100  R-221;;AVENIDA VICTOR BARRETO;;;;;CANOAS;;;;;;;TIPO;TIPO
Centro Educacional um Lugar ao Sol;;lugaraosol@opelink.com.br;;493-3367/4956436;;Av General Guedes da Fontoura, 880;;;Barra da Tijuca;22621-240;Rio de Janeiro;RJ;;;;;;Escolas Particulares;Escola
CENTRO FEDERAL DE EDUCAÇÃO TECNOL CELSO SUCKOW DA FONSECA;;lucidi@cefet-rj.br;;(021) 568 8890;;AV MARACANÃ;;;;;RIO DE JANEIRO;;;;;;;TIPO;TIPO
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DA BAHIA;;webmaster@cefetnet.com.br;;(071) 242 0522 R- 118;;RUA EMÍDIO DOS SANTOS;;;;;SALVADOR;;;;;;;TIPO;TIPO
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;;gabinete@adm.cefetmg.br;;(031) 319 5007;;AV AMAZONAS;;;;;BELO HORIZONTE;;;;;;;TIPO;TIPO
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DO MARANHÃO;;coplan@cefet-ma.br;;(098) 235 4277;;AV GETÚLIO VARGAS;;;;;SAO LUIS;;;;;;;TIPO;TIPO
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DO PARANÁ;;difip@cg.cepro.cefetpr.br;;(041) 322 4544 R- 107;;AV SETE DE SETEMBRO;;;;;CURITIBA;;;;;;;TIPO;TIPO
CENTRO INTEGRADO DE ENSINO SUPERIOR DO AMAZONAS;;ciesa@ciesa.br;;(092) 642 4300;;TRAVESSA 02 DE AGOSTO;;;;;MANAUS;;;;;;;TIPO;TIPO
CENTRO REGIONAL DE EDUCAÇÃO SUPERIOR DE TIMBAÚBA;;omsousa@hotink.com.br;;(081) 631 0752;;RUA ALMIRANTE BARROSO;;;;;TIMBAUBA;;;;;;;TIPO;TIPO
CENTRO REGIONAL DE ESTUDOS EM CIÊNCIAS HUMANAS;;funorte@connect.com.br;;(038) 221 1742;;RUA JOÃO PINHEIRO;;;;;MONTES CLAROS;;;;;;;TIPO;TIPO
CENTRO SUPERIOR DE CIÊNCIAS SOCIAIS DE VILA VELHA;;uvv@uvv-es.br;;(027) 229 1644 R- 215;;RUA PROFESSOR ANNOR DA SILVA;;;;;VILA VELHA;;;;;;;TIPO;TIPO
Centro Univ. Araraquara;;fonoaudiologia@uniara.com.br;;(16) 222-0499 / 232-1921;;R. Voluntário da Pátria, 1309;;;;14801-320;Araraquara;SP;;;;;;Ensino Superior;Escola Superior
CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;;suam@antares.com.br;;(021) 560 4636;;AV PARIS;;;;;RIO DE JANEIRO;;;;;;;TIPO;Escola Superior
Centro Universitário Barão de Mauá;;webmaster@unimaua.br;;(16) 6036600 r.6640  /  6107823;;R. Ramos de Azevedo, 423;;;;14090-180;Ribeirão Preto;SP;;;;;;Ensino Superior;Escola Superior
CENTRO UNIVERSITÁRIO CELSO LISBOA;;fefacel@ax.apc.org;;(021) 501 4722  / 501 5217;;RUA VINTE E QUATRO DE MAIO;;;;;RIO DE JANEIRO;;;;;;;TIPO;Escola Superior
CENTRO UNIVERSITÁRIO DA CIDADE;;info@facdacidade.br;;(021) 550 7388;;RUA ALMIRANTE SADDOCK DE SÁ;;;;;RIO DE JANEIRO;;;;;;;TIPO;Escola Superior
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;;webmaster@unigran.br;;(067) 422 5522;;RUA BALBINA DE MATOS;;;;;DOURADOS;;;;;;;TIPO;Escola Superior
Centro Universitário de Araraquara;;uniara@uniara.com.br;;(16) 2220499  /  2321921;;R. Voluntários da Pátria, 1309;;;;14801-320;Araraquara;SP;;;;;;Ensino Superior;Escola Superior
CENTRO UNIVERSITÁRIO DE BARRA MANSA;;ubm@sobeu.br;;(024) 322 0222 R- 136;;RUA VEREADOR PINHO DE CARVALHO;;;;;BARRA MANSA;;;;;;;TIPO;Escola Superior
CENTRO UNIVERSITÁRIO DE JOÃO PESSOA;;info@unipe.br;;(083) 231 1418;;BR 230 - KM 22;;;;;JOAO PESSOA;;;;;;;TIPO;Escola Superior
CENTRO UNIVERSITÁRIO DE OSASCO;;secretar@fieo.br;;(011) 708 16000 R-221;;RUA NARCISO STURLINI;;;;;OSASCO;;;;;;;TIPO;Escola Superior
Centro Universitário de Rio Preto - UNIRP;;reitoria@unirpnet.com.br;;(17) 211-3000/ 3115;;R. Ivete Gabriel Atique, 45;;;;15025-400;São José do Rio Preto;SP;;;;;;Ensino Superior;Escola Superior
Centro Universitário de Votuporanga;;fev@votuporanga.com.br;;(17) 4222800  / 4224510;;R. Pernanbuco, 1594;;;;15500-030;Votuporanga;SP;;;;;;Ensino Superior;Escola Superior
CENTRO UNIVERSITÁRIO DO NORTE PAULISTA;;deluca@unorpnet.com.br;;(017) 230 2500 R 2526;;RUA IPIRANGA;;;;;SAO JOSE DO RIO PRETO;;;;;;;TIPO;Escola Superior
Centro Universitário do Norte Paulista;;unorp@unorpnet.com.br;;(17) 230-2512;;R. Ipiranga, 3460;;;;15020-040;São José do Rio Preto;SP;;;;;;Ensino Superior;Escola Superior
CENTRO UNIVERSITÁRIO DO TRIÂNGULO;;secgeral@facintr.com.br;;(034) 239 9600 R- 204;;RUA RAFAEL MARINO NETO;;;;;UBERLANDIA;;;;;;;TIPO;Escola Superior
CENTRO UNIVERSITÁRIO FRANCISCANO;;fafra@smnet.com.br;;(055) 222 0001;;RUA DOS ANDRADAS;;;;;SANTA MARIA;;;;;;;TIPO;Escola Superior
CENTRO UNIVERSITÁRIO LUSÍADA;;unilus@lusiada.br;;(013) 235 1311;;ARMANDO DE SALLES OLIVEIRA;;;;;SANTOS;;;;;;;TIPO;Escola Superior
CENTRO UNIVERSITÁRIO MOACYR SREDER BASTOS;;info@msb.br;;(021) 413 5727 R- 205;;RUA ENGENHEIRO TRINDADE;;;;;RIO DE JANEIRO;;;;;;;TIPO;Escola Superior
Centro Universitário Monte Serrat;;unimonte@unimonte.br;;(13) 2213466 r. 216  / 2327078;;Av. Rangel Pestana, 99;;;;11013-551;Santos;SP;;;;;;Ensino Superior;Escola Superior
Centro Universitário Moura Lacerda;;dicad.ml@mouralacerda.com.br / didac.ml@moura.lace;;(16) 6361010 r. 148  /  6254725;;R. Padre Euclides, 995;;;;14085-420;Ribeirão Preto;SP;;;;;;Ensino Superior;Escola Superior
CENTRO UNIVERSITÁRIO NEWTON PAIVA;;secretaria@newtonpaiva.br;;(031) 295 6200;;RUA GOITACAZES;;;;;BELO HORIZONTE;;;;;;;TIPO;Escola Superior
Centro Universitário Nossa Senhora do Patrocínio;;sensp@sol.uniemp.br;;(11) 78230547 r. 231  /  78230678;;R. do Patrocínio, 716 Bloco VIII e IX;;;;13300-200;Itu;SP;;;;;;Ensino Superior;Escola Superior
Centro Universitário Nove de Julho;;uninove@originet.com.br;;(11) 69554416 / 69671195;;R. Diamanntina, 302;;;;021170-01;São Paulo;SP;;;;;;Ensino Superior;Escola Superior
CENTRO UNIVERSITÁRIO POSITIVO;;secretaria_cespo@positivo.com.br;;(041) 342 2728;;AV NOSSA SENHORA APARECIDA;;;;;CURITIBA;;;;;;;TIPO;Escola Superior
Centro Universitário S. Camilo - UNISC;;unisc@scamilo.br;;(11) 272-6077  Fax 215-2361;;Av. Nazaré, 1501;;;;04263-200;São Paulo;SP;;;;;;Ensino Superior;Escola Superior
Centro Universitário Salesiano de São Paulo;;unisal@salesianos.org.br;;(19) 4603367 r. 268  / 4602473;;R. Dom Bosco,100;;;;13466-440;Americana;SP;;;;;;Ensino Superior;Escola Superior
CENTRO UNIVERSITÁRIO SÃO CAMILO;;scamilo@hydra.com.br;;(011) 272 6077;Silvia Tavares de Oliveira;AV NAZARÉ;;;;;SAO PAULO;;;;;;;TIPO;Escola Superior
CEV - Centro de Estudos da Voz;;mbihlau@uol.com.br;;(11) 575-2685 / 575-1710;;R. Diogo de Faria, 231;;;;04037-000;São Paulo;SP;;;;;;Cursos de Espec.;Escola Superior
Colégio Cecília Meireles;;paulo@ceciliameireles.com.br;;(16) 261- 5264;;;;;;;São Carlos;SP;;;;;;Escolas Particulares;Escola
Colégio Giordano Bruno;;colgiordanobruno@uol.com.br;;3722-0588;;Rua Fernando Caldas , 28;;;Jd. Rolinópolis -Butantã;05535-060;São Paulo;SP;;;;;;Escolas Particulares;Escola
Colégio Metodista;;reginam@metodista.br;;4366-5897;;Rua Sacramento,230;;;Rudge Ramos SBC;;;;;;;;;Escolas Particulares;Escola
Colégio Platão de Apucarana;;plataoapuc@uol.com.br;;;;;;;;;;PR;;;;;;Escolas Particulares;Escola
COLEGIO SAO VICENTE DE PAULO;;secretaria@savi.g12.br;;(011) 4586-3322;;AV SEBASTIAO MENDES SILVA 00706;;;ANHANGABAU;13208-090;JUNDIAI;SP;;;;;;Escolas de Jundiaí;Escola
Colégio Tableau;;colegio.tableau@terra.com.br;;() 4522-7742;;Rua França 36;;;Centro;;Jundiaí;SP;;;;;;Escolas de Jundiaí;Escola
COLEGIO UNIVERSITÁRIO  DE 1 E 2 GRAUS;;universitario@universitariojundiai.g12.br;;(011) 45826821;;AV.NAVARRO DE ANDRADE 00500;;;PQ CENTENARIO;13214-010;JUNDIAI;SP;;;;;;Escolas de Jundiaí;Escola
Conselho Federal de Fonoaudiologia;;fonoaudiologia@fono.com.br;;(61) 3261220;;SCLN 102  Bloco B  Sala 101;;;;70722-520;Brasília;DF;;;;;;Conselhos;Escola Superior
Conselho Regional de Psicologia;;info@crpsp.org.br;;(11) 30619494;;R. Arruda Alvin, 89;;;;05410-020;São Paulo;SP;;;;;;Conselhos;Escola Superior
Conselho Regional Fonoaudiologia;;info@crfasp.org.br;;(11) 38733245;;R. Dona Germaine Burchard 331;;;;05002-061;São Paulo;SP;;;;;;Conselhos;Escola Superior
CONSERVATÓRIO BRASILEIRO DE MÚSICA;;cbm@cbm-musica.org.br;;(021) 240 5481;;AV GRAÇA ARANHA;;;;;RIO DE JANEIRO;;;;;;;Entidades;Entidades
CONSERVATÓRIO DE MÚSICA DE NITEROÍ;;coplan@cruiser.com.br;;(021) 719 2330;;RUA SÃO PEDRO;;;;;NITEROI;;;;;;;Entidades;Entidades
CONSERVATÓRIO DRAMÁTICO MUSICAL SÃO PAULO;;basilio@sti.com.br;;(011) 223 9231;;RUA CONS CRISPINIANO;;;;;SAO PAULO;;;;;;;Entidades;Entidades
Coordenação de Cursos e Eventos;;milenio1@terra.com.br;;(16) 610-8459 / 610-6515;;Rua Bernadino de Campos, 1503;;;;14015-130;Ribeirão Preto;SP;;;;;;Entidades;Entidades
Delegacia de Ensino - Jundiaí;;dejund@uol.com.br;;(11) 45868199;;R. Anchieta, 337;;;;13200-000;Jundiaí;SP;;;;;;Delegacias de Ens;Escola Superior
Distribuidora Loyola Rogério / Celso;;vendas@livloyola.com.br;;232-0449;232-0449;Senador Feijó , 120;;;Centro;01006-000;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
E.M. José Alves dos Santos;;em.alves@pmmc.com.br/marciadecarles@uol.com.br;;4721-2085/cel.:9657-4313;;;;;;;Mogi das Cruzes;SP;;;;;;Escolas de Mogi;Escola
Edelbra;;edelbragr@edelbra.com.br;;(11) 3209-9459 cel 9226-2406;(54) 321-1744;RS 331 Km 2;;;Demolier;997000-000;Erechim;;;;;;;Distribuidora de Livros;Distribuição
Editora Europa;;cardinale@europanet.com.br;;3038-5050;3097-8583;MMDC,121;;;Butantã;05510-021;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
Editora Europa LTDA;;cardinale@europanet.com.br;;3038-5080;;R. MMDC, 121;;;Butantã;05510-021;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
Editora Vozes;;vozes37@uol.com.br;;(11) 3277-6266   Fax: (11) 3272-0829;;Rua dos Parecis, 74;;;Cambuci;01527-030;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
Editora Vozes Teobaldo Heidemann;;vozes37@uol.com.br;;3277-6266;3272-0829;Rua dos Parecis, 74;;;Cambuci;01527-030;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
Educação & CIA Rodrigo Villa Verde;;guvill@uol.com.br;;4816-7738/ 4816-7791;;Monteiro Lobato ,270;;;Vila Argos;13.200-000;Jundiaí;;;;;;;Distribuidora de Livros;Distribuição
EM Álvaro de Campos Carneiro;;emcampos@pmmc.com.br;;4723-0805 / 4722-7965 / 4738-4920;;Rua Pedro Paulo dos Santos, 855-N  Jundiapeba;;;;08750 710;Mogi das Cruzes;SP;;;;;;Escolas de Mogi;Escola
ESC DE ENS SUP DO EDUCANDÁRIO SERÁFICO SÃO FRANCISCO DE ASSIS;;projstereza@edinternet.com.br;;(027) 591 1322;;RUA BERNARDINO MONTEIRO;;;;;SANTA TERESA;;;;;;;Faculdades;Escola Superior
Esc. Sup. De Ensino Helena Antipoff;;eseha@bitnet.com.br;;(21) 6163311 / 6161116;;Estr. Caetano Monteiro, 857;;;;24320-570;Níteroi;RJ;;;;;;Ensino Superior;Escola Superior
Esc. Sup. de Ensino Helena Antipoff;;eseha@bitnet.com.br;;;;;;;;;;;;;;;;Faculdades;Escola Superior
Escol@24horas;;atendimento@escola24horas.com.br;;(11) 3179-0102;;Av. Paulista conj.1001 edif. Horsa2,2073;;;;01311-940;São Paulo;SP;;;;;;sistema de ensino;Emp. Educacional
ESCOLA AGROTÉCNICA FEDERAL PRESIDENTE JUSCELINO KUBITSCHEK;;fcavalli@zat.com.br;;(054) 452 2200 R- 244;;AV OSWALDO ARANHA;;;;;BENTO GONCALVES;;;;;;;Entidades;Entidades
ESCOLA BAHIANA DE ADMINISTRAÇÃO;;emsp@bytenet.com.br;;(071) 356 1000  R-264;;AV  DOM JOÃO VI;;;;;SALVADOR;;;;;;;Entidades;Entidades
ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;;pesquisa@bytnet.com.br;;(071) 243 2723  R- 26;;RUA FREI HENRIQUE;;;;;SALVADOR;;;;;;;Faculdades;Escola Superior
ESCOLA CRISTÃ DE JUNDIAI;;jundiai@escolacrista.com.br;;(011) 4586-2146;;RUA DO RETIRO 02366;;;RETIRO;13209-002;JUNDIAI;SP;;;;;;Escolas de Jundiaí;Escola
ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO;;midori@fgvsp.br;;(011) 281 7700 R- 7840;;AV NOVE DE JULHO;;;;;SAO PAULO;;;;;;;Entidades;Entidades
ESCOLA DE ADMINISTRAÇÃO IPITANGA;;unibahia@sal.sol.cpm.br;;(071) 379 9240 / 379 9245 / 379 9290;;ESTRADA DO CÔCO - KM 4,5;;;;;LAURO DE FREITAS;;;;;;;Entidades;Entidades
ESCOLA DE ADMINISTRAÇÃO MAUÁ;;eam@maua.br;;(011) 574 0688;;RUA PEDRO TOLEDO;;;;;SAO PAULO;;;;;;;Entidades;Entidades
ESCOLA DE BIBLIOTECONOMIA - FORMIGA;;bkcenter@netfor.com.br;;(037) 322 1977 r- 325;;AV DR ARNALDO DE SENNA;;;;;FORMIGA;;;;;;;Entidades;Entidades
ESCOLA DE BIBLIOTECONOMIA E DOCUMENTAÇÃO DE SÃO PAULO;;fesps@dialdata.com.br;;(011) 255 2001;;RUA GENERAL JARDIM;;;;;SAO PAULO;;;;;;;Faculdades;Escola Superior
ESCOLA DE EDUCAÇÃO FÍSICA DE ASSIS;;ieda@femanet.com.br;;(018) 322 2552 R- 203;;AV  DOUTOR DÓRIA;;;;;ASSIS;;;;;;;Entidades;Entidades
ESCOLA DE ENFERMAGEM DA FUND TÉCNICO EDUC SOUZA MARQUES;;ftesm@ism.com.br;;(021) 390 6365 R- 250;;AV ERNANI CARDOSO;;;;;RIO DE JANEIRO;;;;;;;Faculdades;Escola Superior
ESCOLA DE ENFERMAGEM SANTA EMÍLIA DE RODAT;;eeser@openline.com.br;;(083) 221 2925 R-28;;PRAÇA CALDAS BRANDÃO;;;;;JOAO PESSOA;;;;;;;Faculdades;Escola Superior
ESCOLA DE ENFERMAGEM WENCESLAU BRAZ;;eewb@eewb.br;;(035) 622 0930 / 622 0335 R- 302;;AVENIDA CESÁRIO ALVIM;;;;;ITAJUBA;;;;;;;Faculdades;Escola Superior
